campaign_event_id,member_id,campaign_id,event_date,channel,event_type,journey_stage
CA-000052,JL-0007,CMP-2005,2026-05-20,Email,Sent,Commerce
CA-000053,JL-0007,CMP-2005,2026-05-29,Email,Dismiss,Commerce
CA-000054,JL-0007,CMP-2001,2026-02-01,App Push,Click,Onboarding
CA-000055,JL-0007,CMP-2002,2026-02-20,Email,Sent,Education
CA-000056,JL-0008,CMP-2003,2026-04-14,In App,Sent,Building
CA-000057,JL-0008,CMP-2003,2026-05-26,App Push,Sent,Building
CA-000058,JL-0008,CMP-2001,2025-12-16,App Push,Open,Onboarding
CA-000059,JL-0008,CMP-2003,2026-03-05,In App,Open,Building
CA-000060,JL-0008,CMP-2002,2026-02-20,In App,Open,Education
CA-000061,JL-0008,CMP-2001,2026-03-06,App Push,Dismiss,Onboarding
CA-000062,JL-0008,CMP-2004,2026-01-30,In App,Click,Community
CA-000063,JL-0008,CMP-2004,2026-02-18,App Push,Conversion,Community
CA-000064,JL-0008,CMP-2001,2025-12-27,Email,Sent,Onboarding
CA-000065,JL-0008,CMP-2001,2026-02-26,Email,Open,Onboarding
CA-000066,JL-0008,CMP-2004,2026-05-23,In App,Open,Community
CA-000067,JL-0008,CMP-2004,2026-01-07,In App,Sent,Community
CA-000068,JL-0009,CMP-2002,2026-05-10,Email,Sent,Education
CA-000069,JL-0009,CMP-2005,2026-01-31,App Push,Open,Commerce
CA-000070,JL-0009,CMP-2001,2026-05-06,In App,Open,Onboarding
CA-000071,JL-0009,CMP-2006,2026-01-23,App Push,Sent,Reconnect
CA-000072,JL-0009,CMP-2004,2026-02-04,App Push,Dismiss,Community
CA-000073,JL-0009,CMP-2006,2026-03-29,App Push,Click,Reconnect
CA-000074,JL-0009,CMP-2002,2026-01-13,In App,Dismiss,Education
CA-000075,JL-0009,CMP-2001,2026-01-24,App Push,Sent,Onboarding
CA-000076,JL-0009,CMP-2003,2026-04-23,In App,Sent,Building
CA-000077,JL-0009,CMP-2003,2026-04-14,In App,Open,Building
CA-000078,JL-0010,CMP-2005,2025-12-13,Email,Sent,Commerce
CA-000079,JL-0010,CMP-2001,2026-06-05,App Push,Open,Onboarding
CA-000080,JL-0010,CMP-2003,2026-01-26,Email,Dismiss,Building
CA-000081,JL-0010,CMP-2005,2026-05-10,Email,Sent,Commerce
CA-000082,JL-0010,CMP-2001,2026-03-16,In App,Sent,Onboarding
CA-000083,JL-0010,CMP-2002,2026-03-15,App Push,Sent,Education
CA-000084,JL-0010,CMP-2003,2026-03-23,Email,Dismiss,Building
CA-000085,JL-0010,CMP-2003,2026-01-11,In App,Sent,Building
CA-000086,JL-0010,CMP-2004,2026-01-30,App Push,Open,Community
CA-000087,JL-0011,CMP-2002,2026-03-10,Email,Conversion,Education
CA-000088,JL-0011,CMP-2003,2026-01-09,In App,Dismiss,Building
CA-000089,JL-0011,CMP-2002,2026-01-17,In App,Dismiss,Education
CA-000090,JL-0011,CMP-2001,2025-12-20,In App,Open,Onboarding
CA-000091,JL-0011,CMP-2002,2026-04-01,Email,Sent,Education
CA-000092,JL-0011,CMP-2005,2026-05-14,In App,Sent,Commerce
CA-000093,JL-0011,CMP-2001,2025-12-22,In App,Sent,Onboarding
CA-000094,JL-0011,CMP-2003,2026-04-13,In App,Sent,Building
CA-000095,JL-0011,CMP-2001,2026-03-03,In App,Open,Onboarding
CA-000096,JL-0011,CMP-2005,2026-06-06,In App,Preference Updated,Commerce
CA-000097,JL-0012,CMP-2006,2026-03-01,In App,Open,Reconnect
CA-000098,JL-0012,CMP-2003,2026-01-23,Email,Sent,Building
CA-000099,JL-0012,CMP-2003,2026-01-03,App Push,Open,Building
CA-000100,JL-0012,CMP-2006,2025-12-26,App Push,Open,Reconnect
CA-000101,JL-0012,CMP-2002,2025-12-17,Email,Sent,Education
CA-000102,JL-0012,CMP-2005,2026-01-11,App Push,Sent,Commerce
CA-000103,JL-0012,CMP-2002,2026-04-16,Email,Dismiss,Education
CA-000104,JL-0013,CMP-2005,2026-06-02,Email,Open,Commerce
CA-000105,JL-0013,CMP-2006,2026-02-11,App Push,Preference Updated,Reconnect
CA-000106,JL-0013,CMP-2001,2026-02-05,Email,Open,Onboarding
CA-000107,JL-0013,CMP-2003,2025-12-31,Email,Open,Building
CA-000108,JL-0013,CMP-2003,2025-12-25,Email,Sent,Building
CA-000109,JL-0013,CMP-2006,2025-12-28,Email,Click,Reconnect
CA-000110,JL-0013,CMP-2001,2025-12-18,Email,Sent,Onboarding
CA-000111,JL-0013,CMP-2003,2025-12-31,In App,Dismiss,Building
CA-000112,JL-0014,CMP-2003,2026-04-25,In App,Open,Building
CA-000113,JL-0014,CMP-2001,2026-06-02,In App,Conversion,Onboarding
CA-000114,JL-0014,CMP-2002,2026-01-06,In App,Click,Education
CA-000115,JL-0014,CMP-2004,2026-04-13,Email,Preference Updated,Community
CA-000116,JL-0014,CMP-2004,2026-01-27,App Push,Dismiss,Community
CA-000117,JL-0014,CMP-2006,2025-12-30,In App,Sent,Reconnect
CA-000118,JL-0014,CMP-2005,2026-01-10,In App,Open,Commerce
CA-000119,JL-0015,CMP-2005,2026-05-15,Web,Sent,Commerce
CA-000120,JL-0015,CMP-2001,2025-12-20,In App,Sent,Onboarding
CA-000121,JL-0015,CMP-2006,2026-05-13,Web,Sent,Reconnect
CA-000122,JL-0016,CMP-2001,2025-12-28,App Push,Sent,Onboarding
CA-000123,JL-0016,CMP-2006,2026-03-13,App Push,Preference Updated,Reconnect
CA-000124,JL-0016,CMP-2001,2025-12-30,App Push,Conversion,Onboarding
CA-000125,JL-0016,CMP-2001,2026-03-18,In App,Open,Onboarding
CA-000126,JL-0016,CMP-2003,2026-02-10,In App,Sent,Building
CA-000127,JL-0016,CMP-2005,2026-03-27,App Push,Click,Commerce
CA-000128,JL-0016,CMP-2006,2026-02-16,Email,Open,Reconnect
CA-000129,JL-0016,CMP-2002,2025-12-24,In App,Open,Education
CA-000130,JL-0016,CMP-2001,2026-03-17,Email,Open,Onboarding
CA-000131,JL-0016,CMP-2006,2026-04-11,In App,Sent,Reconnect
CA-000132,JL-0017,CMP-2005,2026-02-25,In App,Sent,Commerce
CA-000133,JL-0017,CMP-2002,2026-01-04,App Push,Conversion,Education
CA-000134,JL-0017,CMP-2005,2026-04-05,App Push,Click,Commerce
CA-000135,JL-0017,CMP-2001,2026-05-04,App Push,Sent,Onboarding
CA-000136,JL-0017,CMP-2006,2026-01-03,In App,Sent,Reconnect
CA-000137,JL-0018,CMP-2005,2025-12-23,Email,Open,Commerce
CA-000138,JL-0018,CMP-2005,2026-05-07,App Push,Sent,Commerce
CA-000139,JL-0018,CMP-2002,2026-06-06,Email,Open,Education
CA-000140,JL-0018,CMP-2002,2026-04-08,App Push,Preference Updated,Education
CA-000141,JL-0018,CMP-2004,2025-12-16,App Push,Sent,Community
CA-000142,JL-0018,CMP-2001,2026-01-31,In App,Sent,Onboarding
CA-000143,JL-0018,CMP-2005,2026-05-21,App Push,Sent,Commerce
CA-000144,JL-0018,CMP-2003,2026-04-01,App Push,Sent,Building
CA-000145,JL-0018,CMP-2003,2026-01-29,App Push,Conversion,Building
CA-000146,JL-0018,CMP-2004,2025-12-25,Email,Open,Community
CA-000147,JL-0018,CMP-2006,2025-12-22,In App,Sent,Reconnect
CA-000148,JL-0018,CMP-2003,2026-05-27,App Push,Sent,Building
CA-000149,JL-0019,CMP-2003,2026-05-31,App Push,Click,Building
CA-000150,JL-0019,CMP-2004,2026-03-19,App Push,Sent,Community
CA-000151,JL-0019,CMP-2003,2026-04-27,In App,Sent,Building
CA-000152,JL-0019,CMP-2002,2026-01-27,In App,Click,Education
CA-000153,JL-0019,CMP-2004,2026-02-20,Email,Open,Community
CA-000154,JL-0019,CMP-2003,2026-01-09,Email,Sent,Building
CA-000155,JL-0019,CMP-2001,2026-05-31,In App,Sent,Onboarding
CA-000156,JL-0019,CMP-2002,2026-05-11,Email,Click,Education
CA-000157,JL-0019,CMP-2002,2025-12-26,Email,Open,Education
CA-000158,JL-0019,CMP-2003,2026-01-14,In App,Preference Updated,Building
CA-000159,JL-0019,CMP-2003,2026-04-14,App Push,Click,Building
CA-000160,JL-0020,CMP-2005,2026-03-21,In App,Dismiss,Commerce
CA-000161,JL-0020,CMP-2005,2026-05-12,In App,Sent,Commerce
CA-000162,JL-0020,CMP-2001,2026-04-01,In App,Sent,Onboarding
CA-000163,JL-0020,CMP-2004,2026-04-12,In App,Sent,Community
CA-000164,JL-0021,CMP-2005,2026-05-25,In App,Sent,Commerce
CA-000165,JL-0021,CMP-2004,2026-05-03,App Push,Open,Community
CA-000166,JL-0021,CMP-2005,2025-12-21,Email,Sent,Commerce
CA-000167,JL-0021,CMP-2005,2026-02-10,In App,Sent,Commerce
CA-000168,JL-0021,CMP-2005,2025-12-18,In App,Open,Commerce
CA-000169,JL-0021,CMP-2002,2026-05-12,Email,Sent,Education
CA-000170,JL-0021,CMP-2001,2026-03-09,App Push,Preference Updated,Onboarding
CA-000171,JL-0022,CMP-2002,2026-01-05,Web,Sent,Education
CA-000172,JL-0022,CMP-2003,2026-05-30,Email,Open,Building
CA-000173,JL-0022,CMP-2001,2026-03-15,Email,Sent,Onboarding
CA-000174,JL-0022,CMP-2003,2026-02-13,Email,Sent,Building
CA-000175,JL-0022,CMP-2004,2026-06-01,In App,Sent,Community
CA-000176,JL-0022,CMP-2001,2026-04-24,In App,Sent,Onboarding
CA-000177,JL-0022,CMP-2006,2026-05-31,In App,Sent,Reconnect
CA-000178,JL-0022,CMP-2003,2026-01-08,Email,Sent,Building
CA-000179,JL-0022,CMP-2002,2026-04-17,Web,Sent,Education
CA-000180,JL-0022,CMP-2005,2025-12-30,Email,Open,Commerce
CA-000181,JL-0022,CMP-2002,2026-01-03,Web,Open,Education
CA-000182,JL-0023,CMP-2002,2026-03-04,App Push,Sent,Education
CA-000183,JL-0023,CMP-2003,2026-02-02,Email,Unsubscribe,Building
CA-000184,JL-0023,CMP-2005,2026-01-10,Email,Sent,Commerce
CA-000185,JL-0023,CMP-2005,2026-01-31,In App,Sent,Commerce
CA-000186,JL-0023,CMP-2006,2026-04-22,Email,Dismiss,Reconnect
CA-000187,JL-0023,CMP-2005,2026-03-19,Email,Click,Commerce
CA-000188,JL-0023,CMP-2005,2026-02-21,Email,Open,Commerce
CA-000189,JL-0023,CMP-2002,2026-02-25,Email,Sent,Education
CA-000190,JL-0023,CMP-2005,2026-01-07,Email,Open,Commerce
CA-000191,JL-0024,CMP-2002,2026-03-27,Email,Preference Updated,Education
CA-000192,JL-0024,CMP-2004,2026-02-07,Email,Sent,Community
CA-000193,JL-0024,CMP-2001,2026-03-21,Email,Dismiss,Onboarding
CA-000194,JL-0024,CMP-2006,2025-12-21,Email,Click,Reconnect
CA-000195,JL-0024,CMP-2005,2026-04-24,Email,Dismiss,Commerce
CA-000196,JL-0025,CMP-2001,2026-04-13,In App,Open,Onboarding
CA-000197,JL-0025,CMP-2004,2026-04-08,Email,Open,Community
CA-000198,JL-0025,CMP-2005,2026-04-30,Email,Dismiss,Commerce
CA-000199,JL-0025,CMP-2003,2025-12-21,Email,Sent,Building
CA-000200,JL-0025,CMP-2002,2026-02-05,In App,Unsubscribe,Education
CA-000201,JL-0025,CMP-2003,2026-02-15,App Push,Sent,Building
CA-000202,JL-0025,CMP-2003,2026-03-06,Email,Sent,Building
CA-000203,JL-0025,CMP-2001,2026-01-02,App Push,Sent,Onboarding
CA-000204,JL-0026,CMP-2002,2026-03-14,App Push,Sent,Education
CA-000205,JL-0026,CMP-2003,2026-01-18,SMS,Dismiss,Building
CA-000206,JL-0026,CMP-2006,2026-02-28,Email,Dismiss,Reconnect
CA-000207,JL-0026,CMP-2001,2026-02-20,SMS,Conversion,Onboarding
CA-000208,JL-0026,CMP-2003,2026-03-15,App Push,Click,Building
CA-000209,JL-0026,CMP-2004,2026-01-03,In App,Open,Community
CA-000210,JL-0026,CMP-2003,2026-02-22,SMS,Click,Building
CA-000211,JL-0026,CMP-2006,2026-05-24,SMS,Conversion,Reconnect
CA-000212,JL-0026,CMP-2005,2026-01-29,SMS,Sent,Commerce
CA-000213,JL-0026,CMP-2005,2026-04-15,In App,Click,Commerce
CA-000214,JL-0026,CMP-2004,2026-03-23,SMS,Sent,Community
CA-000215,JL-0026,CMP-2001,2026-01-12,App Push,Open,Onboarding
CA-000216,JL-0027,CMP-2005,2026-02-17,Email,Sent,Commerce
CA-000217,JL-0027,CMP-2002,2026-01-20,App Push,Sent,Education
CA-000218,JL-0027,CMP-2003,2026-02-06,App Push,Sent,Building
CA-000219,JL-0027,CMP-2001,2026-01-17,Email,Click,Onboarding
CA-000220,JL-0027,CMP-2005,2025-12-23,Email,Sent,Commerce
CA-000221,JL-0027,CMP-2004,2026-05-17,App Push,Sent,Community
CA-000222,JL-0027,CMP-2001,2026-01-03,App Push,Preference Updated,Onboarding
CA-000223,JL-0027,CMP-2002,2026-04-12,In App,Click,Education
CA-000224,JL-0027,CMP-2003,2025-12-29,App Push,Dismiss,Building
CA-000225,JL-0027,CMP-2006,2026-03-30,Email,Dismiss,Reconnect
CA-000226,JL-0027,CMP-2002,2026-03-12,App Push,Sent,Education
CA-000227,JL-0028,CMP-2005,2026-01-01,Email,Open,Commerce
CA-000228,JL-0028,CMP-2006,2026-02-16,Email,Sent,Reconnect
CA-000229,JL-0028,CMP-2004,2026-04-08,Email,Click,Community
CA-000230,JL-0028,CMP-2002,2026-01-19,In App,Preference Updated,Education
CA-000231,JL-0028,CMP-2001,2026-05-24,Email,Sent,Onboarding
CA-000232,JL-0028,CMP-2006,2026-05-31,Email,Sent,Reconnect
CA-000233,JL-0028,CMP-2003,2026-02-25,Email,Open,Building
CA-000234,JL-0028,CMP-2005,2026-04-28,Email,Click,Commerce
CA-000235,JL-0028,CMP-2005,2026-01-09,Email,Sent,Commerce
CA-000236,JL-0028,CMP-2001,2026-02-20,Email,Sent,Onboarding
CA-000237,JL-0028,CMP-2003,2026-04-29,Email,Click,Building
CA-000238,JL-0029,CMP-2006,2026-03-25,App Push,Preference Updated,Reconnect
CA-000239,JL-0029,CMP-2006,2025-12-10,In App,Unsubscribe,Reconnect
CA-000240,JL-0029,CMP-2004,2026-01-09,App Push,Sent,Community
CA-000241,JL-0029,CMP-2005,2026-04-24,App Push,Sent,Commerce
CA-000242,JL-0029,CMP-2006,2026-03-16,App Push,Preference Updated,Reconnect
CA-000243,JL-0029,CMP-2004,2026-02-13,Email,Open,Community
CA-000244,JL-0029,CMP-2001,2026-04-04,App Push,Open,Onboarding
CA-000245,JL-0030,CMP-2002,2026-02-27,In App,Dismiss,Education
CA-000246,JL-0030,CMP-2002,2026-01-09,In App,Sent,Education
CA-000247,JL-0030,CMP-2005,2026-03-17,In App,Click,Commerce
CA-000248,JL-0030,CMP-2003,2026-03-28,In App,Preference Updated,Building
CA-000249,JL-0030,CMP-2003,2026-05-21,In App,Sent,Building
CA-000250,JL-0030,CMP-2003,2026-02-05,In App,Sent,Building
CA-000251,JL-0030,CMP-2003,2025-12-17,App Push,Open,Building
CA-000252,JL-0030,CMP-2001,2026-01-07,In App,Sent,Onboarding
CA-000253,JL-0030,CMP-2004,2026-01-30,In App,Click,Community
CA-000254,JL-0031,CMP-2002,2026-02-08,App Push,Sent,Education
CA-000255,JL-0031,CMP-2001,2026-01-28,Email,Conversion,Onboarding
CA-000256,JL-0031,CMP-2006,2026-05-30,App Push,Preference Updated,Reconnect
CA-000257,JL-0031,CMP-2003,2026-02-17,In App,Sent,Building
CA-000258,JL-0032,CMP-2003,2026-01-31,Email,Sent,Building
CA-000259,JL-0032,CMP-2006,2026-01-27,App Push,Sent,Reconnect
CA-000260,JL-0032,CMP-2006,2025-12-19,App Push,Sent,Reconnect
CA-000261,JL-0032,CMP-2001,2026-03-18,Email,Sent,Onboarding
CA-000262,JL-0032,CMP-2002,2026-02-28,Email,Click,Education
CA-000263,JL-0033,CMP-2003,2026-04-05,App Push,Click,Building
CA-000264,JL-0033,CMP-2001,2026-01-23,In App,Sent,Onboarding
CA-000265,JL-0033,CMP-2001,2026-01-31,Email,Open,Onboarding
CA-000266,JL-0033,CMP-2001,2026-02-02,In App,Sent,Onboarding
CA-000267,JL-0033,CMP-2004,2026-02-20,App Push,Open,Community
CA-000268,JL-0033,CMP-2001,2026-01-25,App Push,Sent,Onboarding
CA-000269,JL-0033,CMP-2003,2026-05-26,Email,Sent,Building
CA-000270,JL-0033,CMP-2002,2026-03-15,Email,Sent,Education
CA-000271,JL-0033,CMP-2002,2026-03-08,Email,Preference Updated,Education
CA-000272,JL-0033,CMP-2003,2026-05-20,Email,Open,Building
CA-000273,JL-0033,CMP-2006,2025-12-29,Email,Sent,Reconnect
CA-000274,JL-0034,CMP-2001,2026-02-11,Email,Conversion,Onboarding
CA-000275,JL-0034,CMP-2002,2026-01-01,Email,Sent,Education
CA-000276,JL-0034,CMP-2001,2026-03-30,Email,Sent,Onboarding
CA-000277,JL-0034,CMP-2004,2026-02-08,App Push,Open,Community
CA-000278,JL-0034,CMP-2006,2026-04-19,Email,Open,Reconnect
CA-000279,JL-0034,CMP-2002,2026-03-05,Email,Sent,Education
CA-000280,JL-0035,CMP-2005,2025-12-21,App Push,Sent,Commerce
CA-000281,JL-0035,CMP-2003,2026-04-29,App Push,Dismiss,Building
CA-000282,JL-0035,CMP-2002,2026-03-18,Email,Sent,Education
CA-000283,JL-0035,CMP-2002,2026-03-22,App Push,Preference Updated,Education
CA-000284,JL-0035,CMP-2001,2026-05-01,App Push,Sent,Onboarding
CA-000285,JL-0035,CMP-2002,2026-01-20,Email,Sent,Education
CA-000286,JL-0035,CMP-2006,2026-04-16,Email,Sent,Reconnect
CA-000287,JL-0035,CMP-2003,2026-01-28,App Push,Sent,Building
CA-000288,JL-0035,CMP-2001,2025-12-21,App Push,Sent,Onboarding
CA-000289,JL-0035,CMP-2003,2026-01-18,App Push,Open,Building
CA-000290,JL-0035,CMP-2005,2026-01-29,App Push,Sent,Commerce
CA-000291,JL-0035,CMP-2002,2025-12-27,Email,Click,Education
CA-000292,JL-0036,CMP-2005,2026-01-17,App Push,Sent,Commerce
CA-000293,JL-0036,CMP-2003,2026-05-22,Email,Sent,Building
CA-000294,JL-0036,CMP-2005,2026-05-28,Email,Sent,Commerce
CA-000295,JL-0036,CMP-2005,2026-03-29,Email,Click,Commerce
CA-000296,JL-0036,CMP-2005,2025-12-11,Email,Sent,Commerce
CA-000297,JL-0036,CMP-2004,2025-12-28,In App,Sent,Community
CA-000298,JL-0036,CMP-2005,2026-02-02,App Push,Sent,Commerce
CA-000299,JL-0037,CMP-2005,2026-03-15,In App,Open,Commerce
CA-000300,JL-0037,CMP-2004,2026-04-13,Email,Sent,Community
CA-000301,JL-0037,CMP-2005,2026-02-06,Email,Open,Commerce
CA-000302,JL-0037,CMP-2004,2026-03-12,App Push,Click,Community
CA-000303,JL-0037,CMP-2005,2026-04-15,Email,Sent,Commerce
CA-000304,JL-0037,CMP-2003,2026-04-28,Email,Sent,Building
CA-000305,JL-0037,CMP-2004,2026-06-02,Email,Sent,Community
CA-000306,JL-0037,CMP-2005,2026-01-30,Email,Click,Commerce
CA-000307,JL-0037,CMP-2004,2026-05-21,Email,Sent,Community
CA-000308,JL-0037,CMP-2004,2026-05-09,In App,Sent,Community
CA-000309,JL-0037,CMP-2006,2026-05-11,Email,Dismiss,Reconnect
CA-000310,JL-0037,CMP-2001,2026-01-25,Email,Unsubscribe,Onboarding
CA-000311,JL-0038,CMP-2002,2026-05-05,App Push,Conversion,Education
CA-000312,JL-0038,CMP-2002,2026-03-29,App Push,Click,Education
CA-000313,JL-0038,CMP-2001,2026-05-06,App Push,Sent,Onboarding
CA-000314,JL-0038,CMP-2003,2025-12-22,App Push,Sent,Building
CA-000315,JL-0038,CMP-2005,2026-06-06,Email,Sent,Commerce
CA-000316,JL-0038,CMP-2006,2026-06-05,App Push,Click,Reconnect
CA-000317,JL-0038,CMP-2004,2026-05-06,App Push,Dismiss,Community
CA-000318,JL-0038,CMP-2005,2026-03-22,In App,Click,Commerce
CA-000319,JL-0038,CMP-2005,2026-01-23,In App,Conversion,Commerce
CA-000320,JL-0038,CMP-2003,2025-12-21,Email,Sent,Building
CA-000321,JL-0038,CMP-2006,2026-01-22,App Push,Click,Reconnect
CA-000322,JL-0039,CMP-2006,2026-03-20,Email,Sent,Reconnect
CA-000323,JL-0039,CMP-2001,2026-05-09,Email,Dismiss,Onboarding
CA-000324,JL-0039,CMP-2006,2026-02-14,App Push,Sent,Reconnect
CA-000325,JL-0039,CMP-2006,2026-05-27,Email,Open,Reconnect
CA-000326,JL-0039,CMP-2002,2026-01-24,App Push,Preference Updated,Education
CA-000327,JL-0039,CMP-2001,2026-01-13,Email,Sent,Onboarding
CA-000328,JL-0040,CMP-2001,2026-01-02,Email,Open,Onboarding
CA-000329,JL-0040,CMP-2004,2026-04-04,Email,Sent,Community
CA-000330,JL-0040,CMP-2004,2026-03-26,In App,Sent,Community
CA-000331,JL-0040,CMP-2006,2026-02-11,In App,Sent,Reconnect
CA-000332,JL-0040,CMP-2004,2026-04-22,App Push,Sent,Community
CA-000333,JL-0040,CMP-2001,2026-05-22,In App,Sent,Onboarding
CA-000334,JL-0040,CMP-2003,2026-05-06,In App,Open,Building
CA-000335,JL-0040,CMP-2003,2026-04-03,App Push,Sent,Building
CA-000336,JL-0040,CMP-2001,2026-05-03,In App,Click,Onboarding
CA-000337,JL-0040,CMP-2005,2026-03-22,In App,Click,Commerce
CA-000338,JL-0040,CMP-2002,2026-02-18,In App,Sent,Education
CA-000339,JL-0041,CMP-2004,2026-01-25,App Push,Sent,Community
CA-000340,JL-0041,CMP-2003,2026-05-04,App Push,Preference Updated,Building
CA-000341,JL-0041,CMP-2004,2026-05-18,App Push,Sent,Community
CA-000342,JL-0041,CMP-2003,2026-03-04,App Push,Open,Building
CA-000343,JL-0041,CMP-2006,2026-02-01,App Push,Sent,Reconnect
CA-000344,JL-0041,CMP-2002,2026-03-05,Email,Sent,Education
CA-000345,JL-0042,CMP-2006,2026-04-08,In App,Sent,Reconnect
CA-000346,JL-0042,CMP-2003,2026-05-28,Email,Click,Building
CA-000347,JL-0042,CMP-2004,2026-02-21,In App,Click,Community
CA-000348,JL-0042,CMP-2001,2026-02-15,In App,Open,Onboarding
CA-000349,JL-0042,CMP-2001,2026-03-09,In App,Open,Onboarding
CA-000350,JL-0042,CMP-2004,2026-06-02,App Push,Sent,Community
CA-000351,JL-0042,CMP-2004,2026-05-21,In App,Sent,Community
CA-000352,JL-0043,CMP-2006,2026-01-23,Email,Open,Reconnect
CA-000353,JL-0043,CMP-2004,2026-04-06,In App,Sent,Community
CA-000354,JL-0043,CMP-2003,2026-03-27,Email,Dismiss,Building
CA-000355,JL-0043,CMP-2001,2026-04-07,Email,Sent,Onboarding
CA-000356,JL-0043,CMP-2001,2026-04-17,Email,Open,Onboarding
CA-000357,JL-0043,CMP-2002,2026-03-25,Email,Sent,Education
CA-000358,JL-0043,CMP-2005,2025-12-11,Email,Sent,Commerce
CA-000359,JL-0043,CMP-2005,2026-03-24,In App,Sent,Commerce
CA-000360,JL-0043,CMP-2005,2026-06-03,Email,Open,Commerce
CA-000361,JL-0043,CMP-2003,2026-03-31,Email,Open,Building
CA-000362,JL-0043,CMP-2001,2026-04-03,In App,Click,Onboarding
CA-000363,JL-0044,CMP-2003,2026-02-04,App Push,Sent,Building
CA-000364,JL-0044,CMP-2005,2025-12-22,App Push,Open,Commerce
CA-000365,JL-0044,CMP-2002,2026-04-09,App Push,Sent,Education
CA-000366,JL-0044,CMP-2005,2026-06-07,App Push,Dismiss,Commerce
CA-000367,JL-0044,CMP-2002,2026-03-14,Email,Open,Education
CA-000368,JL-0044,CMP-2003,2026-01-18,Email,Conversion,Building
CA-000369,JL-0044,CMP-2002,2026-04-17,App Push,Open,Education
