event_id,member_id,event_date,event_type,source,related_habit_interest
ME-000031,JL-0005,2026-03-10,Routine Completed,SMS,Rest
ME-000032,JL-0005,2026-05-19,Routine Started,App Push,Rest
ME-000033,JL-0005,2026-03-09,Routine Started,Email,Nourish
ME-000034,JL-0005,2026-04-12,Routine Started,Email,Rest
ME-000035,JL-0005,2026-01-22,Plan Canceled,App Push,Rest
ME-000036,JL-0006,2025-03-23,Preference Updated,Email,Nourish
ME-000037,JL-0006,2025-04-11,Preference Updated,Email,Organize
ME-000038,JL-0006,2025-05-25,Routine Started,App Push,Nourish
ME-000039,JL-0006,2025-09-17,Routine Completed,Web,Nourish
ME-000040,JL-0006,2025-08-06,Routine Started,Support,Nourish
ME-000041,JL-0006,2025-03-25,Routine Started,App,Nourish
ME-000042,JL-0006,2025-10-28,Routine Completed,SMS,Nourish
ME-000043,JL-0007,2026-05-27,Plan Started,App,Connect
ME-000044,JL-0007,2026-05-29,Preference Updated,App,Connect
ME-000045,JL-0007,2026-06-07,Preference Updated,SMS,Organize
ME-000046,JL-0007,2026-06-04,Routine Started,Email,Connect
ME-000047,JL-0007,2026-05-28,Plan Renewed,SMS,Organize
ME-000048,JL-0007,2026-06-03,Routine Completed,App,Connect
ME-000049,JL-0007,2026-05-28,Routine Completed,App,Connect
ME-000050,JL-0008,2024-12-25,Plan Started,Email,Connect
ME-000051,JL-0008,2025-01-02,Routine Started,Support,Move
ME-000052,JL-0008,2025-08-10,Routine Started,SMS,Connect
ME-000053,JL-0008,2025-02-18,Community Joined,Web,Move
ME-000054,JL-0008,2025-05-29,Routine Started,SMS,Connect
ME-000055,JL-0009,2024-12-24,Plan Started,Email,Connect
ME-000056,JL-0009,2026-05-24,Routine Started,Web,Nourish
ME-000057,JL-0009,2026-05-23,Plan Renewed,Support,Connect
ME-000058,JL-0009,2025-08-14,Routine Completed,SMS,Connect
ME-000059,JL-0009,2025-08-25,Routine Completed,Support,Connect
ME-000060,JL-0009,2025-12-25,Plan Renewed,Web,Connect
ME-000061,JL-0009,2025-09-18,Community Joined,App Push,Connect
ME-000062,JL-0009,2026-02-13,Routine Completed,SMS,Connect
ME-000063,JL-0009,2026-06-06,Routine Completed,SMS,Connect
ME-000064,JL-0009,2026-06-06,Routine Started,App,Nourish
ME-000065,JL-0010,2026-05-10,Plan Started,App,Organize
ME-000066,JL-0010,2026-05-31,Plan Renewed,Web,Organize
ME-000067,JL-0010,2026-06-05,Preference Updated,Support,Organize
ME-000068,JL-0010,2026-05-23,Routine Started,Email,Organize
ME-000069,JL-0010,2026-05-22,Community Joined,App Push,Move
ME-000070,JL-0010,2026-06-07,Preference Updated,Web,Organize
ME-000071,JL-0010,2026-05-15,Routine Started,App,Move
ME-000072,JL-0010,2026-05-19,Routine Started,SMS,Organize
ME-000073,JL-0011,2025-03-19,Preference Updated,App,Nourish
ME-000074,JL-0011,2026-03-30,Community Joined,Email,Nourish
ME-000075,JL-0011,2025-06-05,Plan Paused,App Push,Nourish
ME-000076,JL-0011,2025-10-15,Routine Started,Web,Nourish
ME-000077,JL-0011,2025-10-17,Routine Completed,Web,Nourish
ME-000078,JL-0011,2025-09-12,Routine Started,Web,Move
ME-000079,JL-0011,2025-05-03,Routine Completed,SMS,Move
ME-000080,JL-0011,2025-09-01,Preference Updated,App Push,Nourish
ME-000081,JL-0012,2026-04-14,Plan Started,App,Mindful
ME-000082,JL-0012,2026-05-16,Preference Updated,App Push,Connect
ME-000083,JL-0012,2026-05-03,Routine Started,App,Mindful
ME-000084,JL-0012,2026-04-18,Routine Completed,Email,Mindful
ME-000085,JL-0012,2026-05-13,Preference Updated,App Push,Mindful
ME-000086,JL-0013,2026-05-09,Trial Started,Email,Nourish
ME-000087,JL-0013,2026-05-29,Routine Completed,Support,Nourish
ME-000088,JL-0013,2026-06-07,Routine Started,App,Nourish
ME-000089,JL-0013,2026-05-13,Routine Completed,Support,Connect
ME-000090,JL-0013,2026-05-28,Community Joined,App Push,Nourish
ME-000091,JL-0013,2026-05-16,Routine Completed,Email,Nourish
ME-000092,JL-0013,2026-05-26,Routine Completed,Email,Nourish
ME-000093,JL-0013,2026-05-23,Routine Completed,SMS,Connect
ME-000094,JL-0013,2026-05-15,Routine Started,Support,Nourish
ME-000095,JL-0013,2026-06-04,Routine Started,Support,Nourish
ME-000096,JL-0014,2026-02-08,Plan Started,Web,Rest
ME-000097,JL-0014,2026-02-24,Routine Completed,SMS,Rest
ME-000098,JL-0014,2026-02-18,Preference Updated,Email,Mindful
ME-000099,JL-0014,2026-05-08,Preference Updated,Web,Mindful
ME-000100,JL-0014,2026-05-15,Routine Completed,Support,Rest
ME-000101,JL-0014,2026-05-07,Plan Canceled,App Push,Rest
ME-000102,JL-0014,2026-05-05,Routine Started,Web,Mindful
ME-000103,JL-0014,2026-04-18,Routine Started,App,Rest
ME-000104,JL-0015,2025-05-06,Trial Started,Email,Rest
ME-000105,JL-0015,2025-07-17,Community Joined,App,Rest
ME-000106,JL-0015,2025-07-25,Routine Started,Web,Connect
ME-000107,JL-0015,2026-02-20,Routine Started,Email,Rest
ME-000108,JL-0015,2026-03-07,Community Joined,SMS,Rest
ME-000109,JL-0015,2026-02-06,Routine Started,Support,Rest
ME-000110,JL-0015,2026-02-01,Routine Completed,App,Rest
ME-000111,JL-0015,2026-05-09,Routine Started,SMS,Connect
ME-000112,JL-0015,2026-03-20,Routine Started,Support,Connect
ME-000113,JL-0015,2026-05-02,Preference Updated,App,Rest
ME-000114,JL-0016,2026-03-06,Plan Started,App,Organize
ME-000115,JL-0016,2026-03-27,Routine Started,App,Rest
ME-000116,JL-0016,2026-05-18,Routine Completed,Web,Organize
ME-000117,JL-0016,2026-06-05,Routine Completed,Web,Organize
ME-000118,JL-0016,2026-03-15,Plan Renewed,App Push,Organize
ME-000119,JL-0016,2026-03-24,Preference Updated,Web,Organize
ME-000120,JL-0017,2026-05-22,Plan Started,Email,Organize
ME-000121,JL-0017,2026-05-28,Routine Started,SMS,Nourish
ME-000122,JL-0017,2026-06-07,Preference Updated,Email,Organize
ME-000123,JL-0017,2026-06-05,Preference Updated,App,Organize
ME-000124,JL-0017,2026-05-28,Routine Completed,Support,Nourish
ME-000125,JL-0018,2026-01-11,Plan Started,App,Move
ME-000126,JL-0018,2026-04-05,Routine Completed,App Push,Move
ME-000127,JL-0018,2026-03-26,Routine Started,Support,Move
ME-000128,JL-0018,2026-05-22,Routine Started,Email,Move
ME-000129,JL-0019,2026-05-13,Trial Started,App,Nourish
ME-000130,JL-0019,2026-05-30,Routine Started,Support,Nourish
ME-000131,JL-0019,2026-05-28,Routine Completed,Support,Rest
ME-000132,JL-0019,2026-05-18,Routine Started,App,Nourish
ME-000133,JL-0019,2026-05-15,Routine Completed,Web,Nourish
ME-000134,JL-0019,2026-05-20,Routine Completed,SMS,Nourish
ME-000135,JL-0019,2026-05-17,Routine Started,Support,Rest
ME-000136,JL-0020,2026-05-02,Plan Started,Email,Connect
ME-000137,JL-0020,2026-06-04,Routine Started,App Push,Organize
ME-000138,JL-0020,2026-05-03,Community Joined,Web,Organize
ME-000139,JL-0020,2026-05-29,Routine Started,Web,Connect
ME-000140,JL-0020,2026-06-04,Routine Started,Email,Organize
ME-000141,JL-0020,2026-05-21,Plan Renewed,App,Connect
ME-000142,JL-0020,2026-05-04,Preference Updated,SMS,Connect
ME-000143,JL-0020,2026-06-01,Community Joined,App,Connect
ME-000144,JL-0020,2026-06-04,Routine Completed,App Push,Organize
ME-000145,JL-0021,2024-08-18,Plan Started,App,Connect
ME-000146,JL-0021,2026-02-04,Plan Renewed,Web,Move
ME-000147,JL-0021,2026-01-07,Routine Started,SMS,Connect
ME-000148,JL-0021,2024-12-15,Routine Completed,Email,Connect
ME-000149,JL-0021,2026-02-09,Routine Started,SMS,Move
ME-000150,JL-0021,2025-09-30,Plan Renewed,SMS,Connect
ME-000151,JL-0021,2025-12-04,Routine Started,Email,Connect
ME-000152,JL-0021,2024-10-14,Routine Started,Support,Move
ME-000153,JL-0021,2025-05-02,Routine Completed,Email,Connect
ME-000154,JL-0022,2026-05-22,Preference Updated,Email,Mindful
ME-000155,JL-0022,2026-05-25,Routine Started,App,Connect
ME-000156,JL-0022,2026-06-04,Routine Started,Email,Connect
ME-000157,JL-0022,2026-06-07,Routine Started,Web,Mindful
ME-000158,JL-0022,2026-06-03,Routine Completed,Email,Mindful
ME-000159,JL-0022,2026-06-02,Routine Started,Email,Mindful
ME-000160,JL-0022,2026-06-06,Routine Started,App,Mindful
ME-000161,JL-0022,2026-05-29,Routine Completed,Web,Connect
ME-000162,JL-0023,2025-04-19,Preference Updated,Email,Organize
ME-000163,JL-0023,2026-05-22,Preference Updated,SMS,Organize
ME-000164,JL-0023,2025-07-06,Routine Completed,Email,Organize
ME-000165,JL-0023,2025-06-16,Routine Started,App,Organize
ME-000166,JL-0023,2025-08-07,Routine Completed,App Push,Organize
ME-000167,JL-0023,2025-07-02,Routine Started,SMS,Nourish
ME-000168,JL-0023,2025-09-19,Routine Started,Email,Organize
ME-000169,JL-0023,2025-08-08,Preference Updated,App,Organize
ME-000170,JL-0024,2024-07-20,Preference Updated,Email,Move
ME-000171,JL-0024,2025-09-22,Routine Started,Support,Move
ME-000172,JL-0024,2025-11-08,Routine Started,Support,Move
ME-000173,JL-0024,2025-05-31,Preference Updated,App Push,Organize
ME-000174,JL-0024,2026-04-21,Routine Completed,SMS,Move
ME-000175,JL-0024,2025-12-08,Preference Updated,App Push,Move
ME-000176,JL-0024,2026-03-18,Routine Completed,Web,Move
ME-000177,JL-0024,2025-04-29,Routine Started,Support,Move
ME-000178,JL-0025,2026-02-04,Plan Started,Email,Rest
ME-000179,JL-0025,2026-05-26,Routine Completed,App Push,Rest
ME-000180,JL-0025,2026-02-24,Routine Started,App Push,Rest
ME-000181,JL-0025,2026-05-03,Routine Started,App,Rest
ME-000182,JL-0025,2026-04-30,Routine Completed,App,Rest
ME-000183,JL-0025,2026-05-27,Routine Started,App,Rest
ME-000184,JL-0026,2025-06-27,Preference Updated,Web,Nourish
ME-000185,JL-0026,2025-07-25,Routine Started,App Push,Organize
ME-000186,JL-0026,2025-08-21,Routine Started,Support,Nourish
ME-000187,JL-0026,2025-12-09,Community Joined,Email,Nourish
ME-000188,JL-0026,2025-09-26,Routine Completed,Email,Nourish
ME-000189,JL-0026,2026-01-13,Routine Started,Email,Organize
ME-000190,JL-0026,2025-09-29,Routine Started,SMS,Nourish
ME-000191,JL-0026,2026-02-04,Routine Started,Support,Nourish
ME-000192,JL-0026,2025-11-25,Routine Completed,App,Nourish
ME-000193,JL-0027,2025-12-19,Plan Started,Email,Rest
ME-000194,JL-0027,2026-02-20,Routine Started,SMS,Organize
ME-000195,JL-0027,2026-03-22,Preference Updated,SMS,Rest
ME-000196,JL-0027,2026-03-07,Routine Completed,Email,Rest
ME-000197,JL-0027,2026-02-08,Routine Started,SMS,Rest
ME-000198,JL-0027,2026-05-19,Preference Updated,Support,Organize
ME-000199,JL-0027,2026-05-05,Routine Started,Email,Organize
ME-000200,JL-0027,2026-05-18,Routine Started,Web,Organize
ME-000201,JL-0027,2026-02-16,Plan Paused,SMS,Organize
ME-000202,JL-0028,2025-12-30,Plan Started,Web,Nourish
ME-000203,JL-0028,2026-06-02,Routine Started,Web,Nourish
ME-000204,JL-0028,2026-04-21,Routine Started,Email,Nourish
ME-000205,JL-0029,2025-12-18,Plan Started,App,Move
ME-000206,JL-0029,2026-02-06,Community Joined,Email,Move
ME-000207,JL-0029,2026-01-25,Routine Started,Email,Connect
ME-000208,JL-0029,2026-02-19,Preference Updated,Web,Move
ME-000209,JL-0029,2026-03-24,Routine Started,SMS,Move
ME-000210,JL-0029,2026-03-28,Preference Updated,Email,Connect
ME-000211,JL-0029,2026-03-26,Plan Renewed,Support,Move
ME-000212,JL-0029,2026-04-01,Community Joined,App,Move
ME-000213,JL-0029,2026-01-21,Routine Started,SMS,Move
ME-000214,JL-0030,2026-04-03,Plan Started,App,Rest
ME-000215,JL-0030,2026-04-10,Routine Completed,Support,Rest
ME-000216,JL-0030,2026-05-31,Routine Started,App Push,Mindful
ME-000217,JL-0030,2026-05-28,Plan Renewed,Support,Rest
ME-000218,JL-0031,2025-11-18,Plan Started,Web,Organize
ME-000219,JL-0031,2026-05-06,Routine Started,Support,Organize
ME-000220,JL-0031,2025-11-29,Routine Completed,SMS,Organize
ME-000221,JL-0031,2025-11-27,Routine Completed,App Push,Mindful
ME-000222,JL-0032,2025-10-27,Plan Started,App,Organize
ME-000223,JL-0032,2026-05-04,Routine Completed,Support,Organize
ME-000224,JL-0032,2025-12-06,Plan Paused,Web,Organize
ME-000225,JL-0032,2025-12-26,Community Joined,App Push,Organize
ME-000226,JL-0032,2026-01-25,Routine Started,App,Organize
ME-000227,JL-0032,2025-12-13,Routine Started,Web,Organize
ME-000228,JL-0032,2026-04-23,Plan Paused,App Push,Organize
ME-000229,JL-0033,2026-01-19,Plan Started,Web,Move
ME-000230,JL-0033,2026-04-15,Routine Started,App,Connect
ME-000231,JL-0033,2026-04-11,Routine Started,Support,Connect
ME-000232,JL-0033,2026-04-18,Routine Started,App Push,Move
ME-000233,JL-0033,2026-02-09,Community Joined,Web,Move
ME-000234,JL-0033,2026-03-12,Routine Completed,SMS,Connect
ME-000235,JL-0033,2026-02-12,Routine Completed,Web,Connect
ME-000236,JL-0033,2026-02-04,Routine Started,App,Move
ME-000237,JL-0033,2026-05-13,Routine Started,SMS,Move
ME-000238,JL-0034,2025-12-27,Preference Updated,Web,Connect
ME-000239,JL-0034,2026-03-25,Community Joined,App,Mindful
ME-000240,JL-0034,2026-05-28,Routine Started,App,Connect
ME-000241,JL-0034,2026-04-08,Preference Updated,Web,Mindful
ME-000242,JL-0034,2026-02-11,Routine Completed,App,Mindful
ME-000243,JL-0034,2026-05-19,Routine Completed,App Push,Connect
ME-000244,JL-0035,2026-02-22,Plan Started,Web,Nourish
ME-000245,JL-0035,2026-03-15,Plan Renewed,Web,Nourish
ME-000246,JL-0035,2026-05-21,Preference Updated,Web,Nourish
ME-000247,JL-0035,2026-04-27,Routine Completed,SMS,Nourish
ME-000248,JL-0035,2026-05-20,Routine Started,App,Nourish
ME-000249,JL-0035,2026-03-30,Plan Renewed,App Push,Nourish
ME-000250,JL-0036,2026-05-08,Preference Updated,Web,Organize
ME-000251,JL-0036,2026-06-01,Preference Updated,Email,Organize
ME-000252,JL-0036,2026-06-07,Routine Started,Email,Organize
ME-000253,JL-0036,2026-05-14,Routine Completed,SMS,Mindful
ME-000254,JL-0036,2026-05-09,Routine Completed,App Push,Organize
ME-000255,JL-0036,2026-05-12,Routine Completed,App Push,Organize
ME-000256,JL-0036,2026-05-30,Routine Completed,Email,Mindful
ME-000257,JL-0036,2026-06-05,Plan Canceled,App,Mindful
ME-000258,JL-0036,2026-06-05,Routine Completed,Support,Organize
ME-000259,JL-0036,2026-05-12,Routine Started,Support,Organize
ME-000260,JL-0037,2026-04-25,Trial Started,App,Move
ME-000261,JL-0037,2026-05-14,Community Joined,Support,Move
ME-000262,JL-0037,2026-05-26,Routine Completed,App Push,Move
ME-000263,JL-0037,2026-06-03,Community Joined,Email,Organize
ME-000264,JL-0037,2026-05-11,Routine Started,App,Move
ME-000265,JL-0038,2026-05-17,Plan Started,Email,Mindful
ME-000266,JL-0038,2026-06-06,Preference Updated,App,Mindful
ME-000267,JL-0038,2026-06-01,Community Joined,SMS,Connect
ME-000268,JL-0038,2026-06-07,Routine Started,Email,Mindful
ME-000269,JL-0038,2026-05-29,Routine Started,App Push,Mindful
ME-000270,JL-0039,2026-04-06,Plan Started,Web,Rest
ME-000271,JL-0039,2026-06-07,Routine Started,Email,Rest
ME-000272,JL-0039,2026-06-04,Plan Canceled,App,Rest
ME-000273,JL-0039,2026-05-16,Plan Canceled,Email,Rest
ME-000274,JL-0039,2026-05-31,Preference Updated,Web,Rest
ME-000275,JL-0039,2026-05-26,Community Joined,Web,Rest
ME-000276,JL-0039,2026-05-29,Plan Canceled,Support,Mindful
ME-000277,JL-0039,2026-05-30,Routine Started,App Push,Rest
ME-000278,JL-0039,2026-05-28,Plan Canceled,Web,Rest
ME-000279,JL-0040,2025-10-22,Plan Started,Email,Mindful
ME-000280,JL-0040,2026-04-15,Community Joined,SMS,Mindful
ME-000281,JL-0040,2025-12-11,Preference Updated,SMS,Mindful
ME-000282,JL-0040,2026-04-15,Plan Renewed,SMS,Mindful
ME-000283,JL-0040,2025-12-19,Routine Completed,App Push,Mindful
ME-000284,JL-0040,2026-03-15,Community Joined,App Push,Mindful
ME-000285,JL-0040,2026-05-25,Routine Started,SMS,Mindful
ME-000286,JL-0040,2025-11-16,Routine Completed,SMS,Mindful
ME-000287,JL-0041,2024-06-26,Plan Started,Email,Mindful
ME-000288,JL-0041,2025-06-02,Preference Updated,App Push,Mindful
ME-000289,JL-0041,2025-07-04,Routine Started,App Push,Rest
ME-000290,JL-0041,2026-03-23,Plan Renewed,Support,Mindful
ME-000291,JL-0041,2026-02-01,Routine Started,Support,Mindful
ME-000292,JL-0041,2025-01-16,Routine Completed,Web,Rest
ME-000293,JL-0041,2025-11-15,Routine Started,Support,Rest
ME-000294,JL-0042,2026-02-13,Preference Updated,Email,Connect
ME-000295,JL-0042,2026-02-15,Routine Started,Web,Mindful
ME-000296,JL-0042,2026-03-17,Routine Started,App Push,Mindful
ME-000297,JL-0042,2026-03-28,Routine Completed,SMS,Mindful
ME-000298,JL-0042,2026-04-28,Routine Completed,Support,Mindful
ME-000299,JL-0042,2026-05-21,Routine Started,App,Mindful
ME-000300,JL-0043,2026-05-13,Plan Started,Web,Nourish
ME-000301,JL-0043,2026-05-23,Routine Started,App,Nourish
ME-000302,JL-0043,2026-06-07,Plan Renewed,Support,Nourish
ME-000303,JL-0043,2026-05-20,Routine Completed,SMS,Rest
ME-000304,JL-0043,2026-05-23,Community Joined,Email,Nourish
ME-000305,JL-0044,2026-05-19,Plan Started,App,Move
ME-000306,JL-0044,2026-06-02,Preference Updated,App Push,Move
ME-000307,JL-0044,2026-05-22,Routine Started,Email,Rest
ME-000308,JL-0044,2026-05-24,Routine Completed,App Push,Rest
ME-000309,JL-0044,2026-05-26,Routine Completed,App Push,Move
ME-000310,JL-0044,2026-05-21,Routine Completed,Support,Move
ME-000311,JL-0044,2026-05-23,Routine Started,Web,Move
ME-000312,JL-0045,2024-06-29,Plan Started,Web,Organize
ME-000313,JL-0045,2024-11-27,Routine Started,Email,Organize
ME-000314,JL-0045,2025-08-10,Community Joined,Support,Organize
ME-000315,JL-0045,2025-01-10,Preference Updated,App Push,Organize
ME-000316,JL-0045,2025-01-25,Preference Updated,App,Organize
ME-000317,JL-0045,2025-10-03,Community Joined,App,Organize
ME-000318,JL-0045,2025-09-28,Routine Completed,App Push,Organize
ME-000319,JL-0045,2024-09-21,Routine Completed,Email,Organize
ME-000320,JL-0046,2026-01-28,Plan Started,App,Connect
ME-000321,JL-0046,2026-05-23,Routine Started,Web,Connect
ME-000322,JL-0046,2026-05-17,Routine Completed,SMS,Connect
ME-000323,JL-0046,2026-03-04,Plan Renewed,App,Mindful
ME-000324,JL-0046,2026-04-07,Routine Started,SMS,Mindful
ME-000325,JL-0046,2026-03-29,Routine Completed,Web,Connect
ME-000326,JL-0046,2026-05-15,Plan Renewed,Support,Connect
ME-000327,JL-0047,2025-11-07,Trial Started,Email,Move
ME-000328,JL-0047,2025-12-09,Routine Started,Web,Move
ME-000329,JL-0047,2026-01-02,Preference Updated,App Push,Move
ME-000330,JL-0047,2025-11-08,Preference Updated,Web,Move
ME-000331,JL-0047,2025-12-01,Routine Started,SMS,Move
ME-000332,JL-0047,2026-02-27,Routine Started,App Push,Move
ME-000333,JL-0048,2026-03-24,Plan Started,Email,Organize
ME-000334,JL-0048,2026-05-18,Routine Started,SMS,Mindful
ME-000335,JL-0048,2026-05-13,Routine Completed,App,Organize
ME-000336,JL-0048,2026-05-28,Routine Completed,App Push,Organize
ME-000337,JL-0049,2025-12-20,Plan Started,Email,Move
ME-000338,JL-0049,2026-01-19,Routine Started,Web,Move
ME-000339,JL-0049,2026-03-30,Plan Renewed,SMS,Move
ME-000340,JL-0049,2026-01-22,Routine Started,App,Move
ME-000341,JL-0049,2026-03-11,Plan Canceled,App,Move
ME-000342,JL-0049,2026-01-05,Routine Started,Email,Move
ME-000343,JL-0049,2026-03-27,Plan Renewed,SMS,Organize
ME-000344,JL-0050,2025-08-13,Preference Updated,Web,Organize
ME-000345,JL-0050,2025-12-01,Plan Canceled,Web,Organize
ME-000346,JL-0050,2025-08-17,Routine Started,SMS,Mindful
ME-000347,JL-0050,2025-10-06,Routine Started,Email,Mindful
ME-000348,JL-0050,2025-11-07,Routine Completed,SMS,Organize
ME-000349,JL-0050,2025-09-08,Routine Completed,App Push,Organize
ME-000350,JL-0050,2026-04-03,Community Joined,Email,Organize
ME-000351,JL-0050,2025-11-24,Routine Started,Support,Organize
ME-000352,JL-0050,2026-01-19,Community Joined,Email,Mindful
ME-000353,JL-0050,2026-05-30,Routine Started,App,Organize
ME-000354,JL-0050,2025-11-01,Routine Started,App,Organize
ME-000355,JL-0051,2025-01-06,Plan Started,App,Organize
ME-000356,JL-0051,2026-03-06,Routine Started,App Push,Organize
ME-000357,JL-0051,2026-01-18,Routine Started,Email,Organize
ME-000358,JL-0051,2025-06-19,Plan Renewed,App,Rest
ME-000359,JL-0051,2026-03-09,Routine Started,App Push,Rest
ME-000360,JL-0051,2026-04-20,Plan Renewed,App,Organize
ME-000361,JL-0051,2025-04-22,Preference Updated,Email,Organize
ME-000362,JL-0051,2026-02-09,Community Joined,Support,Rest
ME-000363,JL-0051,2025-05-07,Plan Renewed,SMS,Organize
ME-000364,JL-0051,2025-07-19,Routine Completed,Email,Rest
ME-000365,JL-0052,2025-11-05,Preference Updated,App,Connect
ME-000366,JL-0052,2025-11-20,Preference Updated,App Push,Connect
ME-000367,JL-0052,2026-01-24,Community Joined,App Push,Connect
ME-000368,JL-0052,2026-05-06,Routine Started,Support,Connect
ME-000369,JL-0052,2026-03-16,Routine Started,SMS,Connect
ME-000370,JL-0052,2026-02-05,Plan Renewed,Web,Connect
ME-000371,JL-0053,2024-09-07,Plan Started,Email,Nourish
ME-000372,JL-0053,2024-10-14,Routine Started,SMS,Nourish
ME-000373,JL-0053,2024-10-24,Plan Paused,Support,Nourish
ME-000374,JL-0053,2025-09-02,Routine Started,Email,Nourish
ME-000375,JL-0053,2025-11-21,Community Joined,App Push,Rest
ME-000376,JL-0053,2025-01-15,Plan Paused,Web,Nourish
ME-000377,JL-0054,2024-08-03,Plan Started,Web,Organize
ME-000378,JL-0054,2025-07-25,Plan Paused,App Push,Organize
ME-000379,JL-0054,2025-11-06,Routine Started,SMS,Organize
ME-000380,JL-0054,2026-03-10,Preference Updated,Email,Organize
ME-000381,JL-0054,2025-01-02,Routine Started,App Push,Nourish
ME-000382,JL-0054,2026-04-01,Routine Started,Email,Organize
ME-000383,JL-0054,2025-03-27,Routine Started,App Push,Organize
ME-000384,JL-0055,2026-02-04,Trial Started,App,Nourish
ME-000385,JL-0055,2026-03-24,Routine Started,Support,Organize
ME-000386,JL-0055,2026-04-15,Routine Started,Web,Nourish
ME-000387,JL-0055,2026-03-09,Community Joined,App,Nourish
ME-000388,JL-0055,2026-06-07,Preference Updated,Support,Nourish
ME-000389,JL-0055,2026-02-07,Routine Started,App Push,Nourish
ME-000390,JL-0056,2025-11-25,Plan Started,App,Rest
ME-000391,JL-0056,2026-03-07,Routine Started,Support,Connect
ME-000392,JL-0056,2026-03-07,Preference Updated,Email,Rest
ME-000393,JL-0056,2025-12-14,Routine Completed,Email,Rest
ME-000394,JL-0056,2026-02-17,Routine Completed,Support,Rest
ME-000395,JL-0056,2026-04-07,Routine Completed,App,Rest
ME-000396,JL-0057,2024-08-30,Plan Started,App,Connect
ME-000397,JL-0057,2026-05-24,Routine Started,Web,Connect
ME-000398,JL-0057,2024-12-05,Routine Started,App Push,Connect
ME-000399,JL-0057,2024-08-31,Routine Started,App,Connect
ME-000400,JL-0057,2025-02-03,Routine Completed,Email,Rest
ME-000401,JL-0057,2025-07-09,Community Joined,Email,Rest
ME-000402,JL-0057,2025-07-07,Preference Updated,SMS,Connect
ME-000403,JL-0058,2025-08-28,Plan Started,App,Rest
ME-000404,JL-0058,2025-12-22,Preference Updated,Support,Rest
ME-000405,JL-0058,2026-02-14,Routine Started,App,Rest
ME-000406,JL-0058,2025-11-12,Plan Canceled,Web,Rest
ME-000407,JL-0058,2026-05-09,Routine Started,App,Mindful
ME-000408,JL-0058,2026-03-21,Routine Started,Support,Mindful
ME-000409,JL-0059,2025-09-10,Plan Started,App,Connect
ME-000410,JL-0059,2026-03-26,Plan Renewed,App,Connect
ME-000411,JL-0059,2025-11-23,Plan Paused,Support,Connect
ME-000412,JL-0059,2026-04-12,Routine Started,App Push,Nourish
ME-000413,JL-0059,2025-10-13,Routine Started,App,Nourish
ME-000414,JL-0059,2025-12-09,Community Joined,Support,Connect
ME-000415,JL-0059,2025-10-27,Routine Started,App Push,Nourish
ME-000416,JL-0060,2025-12-19,Trial Started,Web,Connect
ME-000417,JL-0060,2026-03-22,Routine Completed,App,Rest
ME-000418,JL-0060,2026-02-08,Routine Started,Support,Rest
ME-000419,JL-0060,2026-03-15,Community Joined,Support,Rest
ME-000420,JL-0060,2026-02-03,Routine Completed,Email,Rest
ME-000421,JL-0060,2025-12-24,Routine Completed,Email,Connect
ME-000422,JL-0060,2026-05-06,Routine Completed,App,Connect
ME-000423,JL-0060,2026-03-22,Routine Completed,App,Connect
ME-000424,JL-0060,2026-02-03,Routine Started,Email,Connect
ME-000425,JL-0060,2026-04-21,Routine Completed,Web,Rest
