interaction_id,member_id,content_id,interaction_date,interaction_type,session_context,engagement_depth
CI-000140,JL-0005,CNT-005,2026-02-22,View,Midday,2
CI-000141,JL-0005,CNT-010,2026-05-13,Search,Weekend,2
CI-000142,JL-0005,CNT-005,2026-04-09,Complete,Morning,2
CI-000143,JL-0005,CNT-002,2026-03-13,Save,Evening,5
CI-000144,JL-0005,CNT-010,2026-06-03,Save,Weekend,2
CI-000145,JL-0005,CNT-010,2026-05-04,View,Midday,2
CI-000146,JL-0005,CNT-007,2026-06-07,View,Evening,3
CI-000147,JL-0005,CNT-005,2026-03-18,View,Midday,3
CI-000148,JL-0005,CNT-004,2026-03-19,Save,Weekend,4
CI-000149,JL-0005,CNT-005,2026-03-07,View,Morning,1
CI-000150,JL-0005,CNT-004,2026-02-18,View,Unknown,4
CI-000151,JL-0005,CNT-004,2026-02-23,Save,Evening,5
CI-000152,JL-0005,CNT-010,2026-05-14,Dismiss,Weekend,2
CI-000153,JL-0005,CNT-004,2026-06-02,Save,Midday,3
CI-000154,JL-0005,CNT-005,2026-05-31,View,Evening,2
CI-000155,JL-0005,CNT-010,2026-04-24,Complete,Morning,2
CI-000156,JL-0005,CNT-004,2026-04-06,View,Unknown,4
CI-000157,JL-0005,CNT-005,2026-04-21,Save,Evening,4
CI-000158,JL-0005,CNT-010,2026-04-22,Save,Midday,2
CI-000159,JL-0005,CNT-010,2026-06-02,Share,Evening,2
CI-000160,JL-0005,CNT-010,2026-04-21,View,Morning,5
CI-000161,JL-0005,CNT-010,2026-03-01,View,Unknown,3
CI-000162,JL-0005,CNT-004,2026-04-15,View,Unknown,4
CI-000163,JL-0005,CNT-004,2026-05-24,Complete,Morning,3
CI-000164,JL-0005,CNT-005,2026-03-30,Complete,Unknown,4
CI-000165,JL-0005,CNT-004,2026-02-24,View,Midday,4
CI-000166,JL-0005,CNT-004,2026-04-13,Complete,Midday,4
CI-000167,JL-0005,CNT-005,2026-02-25,Save,Midday,3
CI-000168,JL-0005,CNT-004,2026-04-25,View,Weekend,4
CI-000169,JL-0005,CNT-010,2026-04-01,Search,Unknown,3
CI-000170,JL-0005,CNT-010,2026-02-08,View,Morning,4
CI-000171,JL-0006,CNT-003,2026-04-27,View,Unknown,3
CI-000172,JL-0006,CNT-010,2026-04-25,Save,Morning,4
CI-000173,JL-0006,CNT-004,2026-06-06,View,Weekend,2
CI-000174,JL-0006,CNT-003,2026-03-31,View,Evening,3
CI-000175,JL-0006,CNT-007,2026-05-31,Save,Morning,4
CI-000176,JL-0006,CNT-003,2026-03-03,Share,Evening,4
CI-000177,JL-0006,CNT-007,2026-03-22,View,Weekend,1
CI-000178,JL-0006,CNT-003,2026-04-09,Complete,Midday,3
CI-000179,JL-0006,CNT-003,2026-04-04,View,Midday,2
CI-000180,JL-0006,CNT-010,2026-04-09,View,Unknown,4
CI-000181,JL-0006,CNT-008,2026-05-21,Dismiss,Weekend,3
CI-000182,JL-0006,CNT-010,2026-02-22,View,Unknown,1
CI-000183,JL-0006,CNT-008,2026-04-07,View,Midday,2
CI-000184,JL-0006,CNT-004,2026-06-01,View,Unknown,2
CI-000185,JL-0006,CNT-004,2026-02-20,Save,Weekend,4
CI-000186,JL-0006,CNT-007,2026-05-16,View,Evening,5
CI-000187,JL-0006,CNT-005,2026-05-28,Share,Midday,4
CI-000188,JL-0006,CNT-010,2026-02-08,Complete,Evening,4
CI-000189,JL-0006,CNT-003,2026-04-04,Save,Midday,2
CI-000190,JL-0006,CNT-003,2026-05-11,Search,Weekend,3
CI-000191,JL-0006,CNT-010,2026-02-14,View,Unknown,5
CI-000192,JL-0006,CNT-007,2026-04-11,Complete,Midday,2
CI-000193,JL-0006,CNT-010,2026-02-22,View,Weekend,3
CI-000194,JL-0006,CNT-009,2026-05-09,Search,Morning,3
CI-000195,JL-0006,CNT-010,2026-04-09,Dismiss,Morning,2
CI-000196,JL-0006,CNT-010,2026-05-13,View,Evening,2
CI-000197,JL-0006,CNT-007,2026-03-22,View,Weekend,4
CI-000198,JL-0007,CNT-003,2026-04-15,Dismiss,Midday,5
CI-000199,JL-0007,CNT-007,2026-06-01,View,Weekend,3
CI-000200,JL-0007,CNT-007,2026-04-29,View,Evening,5
CI-000201,JL-0007,CNT-003,2026-03-24,Search,Evening,4
CI-000202,JL-0007,CNT-007,2026-02-13,Complete,Weekend,3
CI-000203,JL-0007,CNT-007,2026-02-22,View,Morning,4
CI-000204,JL-0007,CNT-004,2026-04-16,View,Morning,3
CI-000205,JL-0007,CNT-003,2026-05-23,Dismiss,Morning,1
CI-000206,JL-0007,CNT-003,2026-03-18,View,Evening,5
CI-000207,JL-0007,CNT-003,2026-05-08,View,Evening,3
CI-000208,JL-0007,CNT-003,2026-04-16,View,Evening,1
CI-000209,JL-0007,CNT-003,2026-06-03,View,Morning,3
CI-000210,JL-0007,CNT-003,2026-03-20,Complete,Morning,1
CI-000211,JL-0007,CNT-002,2026-04-04,Search,Unknown,3
CI-000212,JL-0007,CNT-008,2026-03-12,Complete,Midday,5
CI-000213,JL-0007,CNT-003,2026-04-04,View,Evening,2
CI-000214,JL-0007,CNT-006,2026-05-28,View,Unknown,2
CI-000215,JL-0007,CNT-003,2026-04-08,Dismiss,Weekend,5
CI-000216,JL-0007,CNT-001,2026-05-03,Save,Evening,2
CI-000217,JL-0007,CNT-003,2026-04-28,View,Unknown,2
CI-000218,JL-0008,CNT-006,2026-05-18,View,Evening,2
CI-000219,JL-0008,CNT-008,2026-03-24,Complete,Morning,2
CI-000220,JL-0008,CNT-008,2026-03-06,Save,Evening,2
CI-000221,JL-0008,CNT-008,2026-02-17,Complete,Evening,4
CI-000222,JL-0008,CNT-002,2026-02-15,View,Unknown,5
CI-000223,JL-0008,CNT-009,2026-05-21,Complete,Unknown,4
CI-000224,JL-0008,CNT-008,2026-04-25,Search,Evening,3
CI-000225,JL-0008,CNT-006,2026-02-16,View,Midday,4
CI-000226,JL-0008,CNT-002,2026-04-30,Complete,Morning,4
CI-000227,JL-0008,CNT-008,2026-02-28,View,Morning,3
CI-000228,JL-0008,CNT-006,2026-03-01,Complete,Weekend,1
CI-000229,JL-0008,CNT-006,2026-05-11,View,Morning,3
CI-000230,JL-0008,CNT-006,2026-05-09,View,Weekend,4
CI-000231,JL-0008,CNT-002,2026-03-01,View,Morning,2
CI-000232,JL-0008,CNT-010,2026-04-08,Share,Unknown,3
CI-000233,JL-0008,CNT-006,2026-03-14,View,Weekend,5
CI-000234,JL-0008,CNT-006,2026-02-28,Save,Unknown,3
CI-000235,JL-0008,CNT-002,2026-03-21,View,Morning,1
CI-000236,JL-0008,CNT-006,2026-03-06,View,Weekend,3
CI-000237,JL-0008,CNT-002,2026-02-27,Save,Weekend,4
CI-000238,JL-0008,CNT-002,2026-05-15,Complete,Midday,1
CI-000239,JL-0008,CNT-002,2026-05-10,View,Evening,2
CI-000240,JL-0008,CNT-010,2026-02-11,View,Weekend,4
CI-000241,JL-0008,CNT-008,2026-04-03,Complete,Weekend,5
CI-000242,JL-0008,CNT-002,2026-05-28,Save,Morning,2
CI-000243,JL-0008,CNT-006,2026-05-28,View,Weekend,4
CI-000244,JL-0008,CNT-008,2026-05-21,Dismiss,Weekend,2
CI-000245,JL-0009,CNT-006,2026-06-05,Share,Midday,5
CI-000246,JL-0009,CNT-004,2026-04-18,Complete,Evening,4
CI-000247,JL-0009,CNT-010,2026-02-27,Complete,Unknown,3
CI-000248,JL-0009,CNT-010,2026-02-21,View,Morning,5
CI-000249,JL-0009,CNT-010,2026-03-27,Save,Morning,3
CI-000250,JL-0009,CNT-004,2026-02-28,Complete,Weekend,3
CI-000251,JL-0009,CNT-006,2026-02-10,Save,Midday,5
CI-000252,JL-0009,CNT-010,2026-05-01,View,Midday,3
CI-000253,JL-0009,CNT-010,2026-03-07,Complete,Weekend,4
CI-000254,JL-0009,CNT-010,2026-05-04,View,Unknown,2
CI-000255,JL-0009,CNT-010,2026-02-23,Dismiss,Evening,3
CI-000256,JL-0009,CNT-006,2026-03-19,Complete,Midday,5
CI-000257,JL-0009,CNT-004,2026-02-12,Share,Midday,1
CI-000258,JL-0009,CNT-003,2026-06-01,Complete,Evening,5
CI-000259,JL-0009,CNT-010,2026-02-22,Save,Unknown,4
CI-000260,JL-0009,CNT-001,2026-04-27,Complete,Morning,4
CI-000261,JL-0009,CNT-006,2026-05-03,View,Evening,4
CI-000262,JL-0009,CNT-004,2026-02-08,View,Morning,2
CI-000263,JL-0009,CNT-002,2026-05-19,View,Midday,3
CI-000264,JL-0009,CNT-004,2026-04-13,View,Evening,2
CI-000265,JL-0009,CNT-008,2026-05-29,Share,Evening,4
CI-000266,JL-0009,CNT-006,2026-06-01,View,Morning,1
CI-000267,JL-0009,CNT-010,2026-04-10,View,Morning,2
CI-000268,JL-0009,CNT-006,2026-04-17,View,Morning,4
CI-000269,JL-0009,CNT-010,2026-04-19,Share,Evening,4
CI-000270,JL-0009,CNT-006,2026-05-06,Save,Midday,1
CI-000271,JL-0009,CNT-006,2026-05-27,Complete,Unknown,2
CI-000272,JL-0009,CNT-004,2026-02-10,Share,Morning,2
CI-000273,JL-0009,CNT-004,2026-03-01,Dismiss,Weekend,2
CI-000274,JL-0009,CNT-004,2026-04-21,View,Morning,1
CI-000275,JL-0009,CNT-003,2026-03-24,View,Midday,5
CI-000276,JL-0009,CNT-004,2026-02-27,View,Morning,2
CI-000277,JL-0009,CNT-004,2026-02-14,Complete,Weekend,1
CI-000278,JL-0009,CNT-010,2026-06-01,Dismiss,Weekend,2
CI-000279,JL-0009,CNT-010,2026-05-26,Search,Unknown,1
CI-000280,JL-0009,CNT-010,2026-02-24,Dismiss,Morning,5
CI-000281,JL-0009,CNT-010,2026-04-25,View,Unknown,2
CI-000282,JL-0009,CNT-004,2026-04-12,View,Weekend,2
CI-000283,JL-0009,CNT-004,2026-02-08,Complete,Midday,5
CI-000284,JL-0009,CNT-010,2026-02-25,Complete,Morning,4
CI-000285,JL-0009,CNT-006,2026-04-23,View,Weekend,4
CI-000286,JL-0009,CNT-006,2026-03-12,Complete,Morning,3
CI-000287,JL-0009,CNT-006,2026-04-29,View,Midday,4
CI-000288,JL-0009,CNT-010,2026-02-27,Complete,Midday,2
CI-000289,JL-0010,CNT-008,2026-02-14,View,Midday,5
CI-000290,JL-0010,CNT-007,2026-05-14,View,Morning,3
CI-000291,JL-0010,CNT-008,2026-05-02,Complete,Morning,1
CI-000292,JL-0010,CNT-010,2026-02-25,View,Weekend,2
CI-000293,JL-0010,CNT-007,2026-05-04,Search,Weekend,4
CI-000294,JL-0010,CNT-003,2026-05-11,Save,Midday,4
CI-000295,JL-0010,CNT-003,2026-04-10,Search,Unknown,1
CI-000296,JL-0010,CNT-010,2026-04-09,Save,Unknown,2
CI-000297,JL-0010,CNT-003,2026-03-08,View,Unknown,3
CI-000298,JL-0010,CNT-007,2026-04-10,View,Weekend,4
CI-000299,JL-0010,CNT-008,2026-04-01,Save,Evening,2
CI-000300,JL-0010,CNT-008,2026-03-30,Complete,Unknown,2
CI-000301,JL-0010,CNT-005,2026-03-19,View,Morning,5
CI-000302,JL-0010,CNT-003,2026-04-23,Search,Unknown,1
CI-000303,JL-0010,CNT-008,2026-02-14,Save,Weekend,4
CI-000304,JL-0010,CNT-007,2026-04-07,View,Morning,1
CI-000305,JL-0010,CNT-003,2026-05-14,View,Morning,5
CI-000306,JL-0010,CNT-003,2026-05-09,View,Morning,5
CI-000307,JL-0010,CNT-002,2026-05-03,Search,Weekend,2
CI-000308,JL-0010,CNT-004,2026-03-13,View,Midday,3
CI-000309,JL-0010,CNT-007,2026-05-23,Save,Weekend,5
CI-000310,JL-0010,CNT-002,2026-02-17,Save,Unknown,1
CI-000311,JL-0010,CNT-002,2026-02-15,Save,Weekend,4
CI-000312,JL-0010,CNT-010,2026-03-14,Search,Weekend,4
CI-000313,JL-0010,CNT-008,2026-04-25,View,Unknown,5
CI-000314,JL-0010,CNT-004,2026-03-18,Dismiss,Midday,3
CI-000315,JL-0010,CNT-002,2026-02-09,View,Morning,2
CI-000316,JL-0010,CNT-002,2026-04-22,Complete,Evening,2
CI-000317,JL-0010,CNT-003,2026-05-02,Dismiss,Midday,1
CI-000318,JL-0010,CNT-002,2026-04-12,View,Weekend,2
CI-000319,JL-0010,CNT-003,2026-04-18,Dismiss,Evening,3
CI-000320,JL-0010,CNT-002,2026-03-22,View,Midday,2
CI-000321,JL-0010,CNT-003,2026-02-14,Complete,Weekend,4
CI-000322,JL-0010,CNT-002,2026-04-15,View,Weekend,3
CI-000323,JL-0010,CNT-002,2026-03-03,Save,Weekend,4
CI-000324,JL-0010,CNT-008,2026-04-21,Search,Morning,4
CI-000325,JL-0010,CNT-008,2026-02-20,Complete,Unknown,4
CI-000326,JL-0010,CNT-008,2026-02-27,Complete,Evening,4
CI-000327,JL-0010,CNT-003,2026-02-09,Complete,Unknown,3
CI-000328,JL-0010,CNT-008,2026-03-09,Save,Weekend,3
CI-000329,JL-0010,CNT-003,2026-05-23,Complete,Weekend,3
CI-000330,JL-0010,CNT-008,2026-05-25,Search,Evening,3
CI-000331,JL-0010,CNT-007,2026-04-08,View,Weekend,3
CI-000332,JL-0010,CNT-002,2026-03-16,Save,Evening,3
CI-000333,JL-0010,CNT-008,2026-03-30,View,Unknown,4
CI-000334,JL-0010,CNT-002,2026-04-13,Search,Midday,4
CI-000335,JL-0011,CNT-010,2026-02-20,View,Evening,5
CI-000336,JL-0011,CNT-010,2026-06-02,Share,Morning,1
CI-000337,JL-0011,CNT-008,2026-04-17,Complete,Morning,2
CI-000338,JL-0011,CNT-006,2026-05-12,Complete,Evening,3
CI-000339,JL-0011,CNT-005,2026-03-03,View,Midday,3
CI-000340,JL-0011,CNT-010,2026-02-18,View,Weekend,2
CI-000341,JL-0011,CNT-010,2026-03-12,Complete,Unknown,3
CI-000342,JL-0011,CNT-010,2026-03-14,View,Unknown,2
CI-000343,JL-0011,CNT-007,2026-02-23,View,Weekend,1
CI-000344,JL-0011,CNT-008,2026-06-04,View,Unknown,1
CI-000345,JL-0011,CNT-003,2026-02-27,View,Morning,5
CI-000346,JL-0011,CNT-008,2026-05-15,Complete,Morning,4
CI-000347,JL-0011,CNT-004,2026-03-07,Share,Morning,4
CI-000348,JL-0011,CNT-003,2026-05-07,Complete,Weekend,4
CI-000349,JL-0011,CNT-004,2026-05-11,View,Evening,3
CI-000350,JL-0011,CNT-010,2026-03-10,View,Weekend,4
CI-000351,JL-0011,CNT-008,2026-04-26,Save,Morning,4
CI-000352,JL-0011,CNT-008,2026-05-15,Save,Evening,3
CI-000353,JL-0011,CNT-004,2026-03-04,View,Unknown,3
CI-000354,JL-0011,CNT-010,2026-04-28,View,Evening,5
CI-000355,JL-0011,CNT-007,2026-03-14,View,Evening,1
CI-000356,JL-0011,CNT-002,2026-06-04,View,Weekend,3
CI-000357,JL-0011,CNT-002,2026-02-22,Complete,Morning,4
CI-000358,JL-0011,CNT-008,2026-04-08,View,Unknown,4
CI-000359,JL-0011,CNT-004,2026-03-09,Complete,Midday,3
CI-000360,JL-0011,CNT-008,2026-04-12,Share,Morning,5
CI-000361,JL-0011,CNT-010,2026-02-16,View,Weekend,2
CI-000362,JL-0011,CNT-002,2026-06-02,Complete,Morning,2
CI-000363,JL-0011,CNT-008,2026-04-19,View,Morning,5
CI-000364,JL-0011,CNT-002,2026-03-11,Complete,Midday,5
CI-000365,JL-0011,CNT-002,2026-03-20,Save,Evening,5
CI-000366,JL-0011,CNT-004,2026-03-06,Share,Evening,3
CI-000367,JL-0011,CNT-004,2026-05-02,Save,Evening,1
CI-000368,JL-0012,CNT-006,2026-05-18,View,Morning,2
CI-000369,JL-0012,CNT-009,2026-05-16,View,Unknown,2
CI-000370,JL-0012,CNT-006,2026-04-09,Complete,Unknown,5
CI-000371,JL-0012,CNT-001,2026-03-01,Complete,Midday,3
CI-000372,JL-0012,CNT-006,2026-05-12,View,Evening,4
CI-000373,JL-0012,CNT-007,2026-04-17,View,Weekend,3
CI-000374,JL-0012,CNT-006,2026-05-14,Share,Weekend,2
CI-000375,JL-0012,CNT-001,2026-05-16,View,Midday,1
CI-000376,JL-0012,CNT-001,2026-02-16,Complete,Weekend,5
CI-000377,JL-0012,CNT-006,2026-04-08,View,Weekend,2
CI-000378,JL-0013,CNT-007,2026-04-24,Save,Weekend,3
CI-000379,JL-0013,CNT-004,2026-04-07,Complete,Morning,3
CI-000380,JL-0013,CNT-004,2026-05-12,Save,Unknown,4
CI-000381,JL-0013,CNT-004,2026-05-07,Save,Unknown,2
CI-000382,JL-0013,CNT-001,2026-03-07,Save,Unknown,3
CI-000383,JL-0013,CNT-004,2026-05-19,Save,Evening,4
CI-000384,JL-0013,CNT-004,2026-03-02,Dismiss,Midday,2
CI-000385,JL-0013,CNT-006,2026-04-12,Save,Weekend,2
CI-000386,JL-0013,CNT-003,2026-05-14,View,Unknown,3
CI-000387,JL-0013,CNT-010,2026-04-22,View,Evening,1
CI-000388,JL-0013,CNT-004,2026-02-23,View,Morning,3
CI-000389,JL-0013,CNT-004,2026-05-22,View,Morning,4
CI-000390,JL-0013,CNT-006,2026-04-14,Save,Evening,2
CI-000391,JL-0013,CNT-010,2026-04-09,View,Midday,2
CI-000392,JL-0013,CNT-004,2026-02-16,Search,Evening,2
CI-000393,JL-0013,CNT-010,2026-05-25,Complete,Evening,2
CI-000394,JL-0013,CNT-006,2026-05-17,Share,Unknown,3
CI-000395,JL-0013,CNT-006,2026-03-01,Complete,Weekend,4
CI-000396,JL-0013,CNT-006,2026-04-21,Save,Weekend,2
CI-000397,JL-0013,CNT-010,2026-02-24,View,Evening,4
CI-000398,JL-0013,CNT-006,2026-03-03,Dismiss,Morning,2
CI-000399,JL-0013,CNT-006,2026-03-16,View,Midday,3
CI-000400,JL-0013,CNT-004,2026-02-08,View,Midday,4
CI-000401,JL-0013,CNT-006,2026-03-09,Complete,Morning,5
CI-000402,JL-0013,CNT-004,2026-02-10,Save,Midday,3
CI-000403,JL-0013,CNT-004,2026-04-10,Complete,Midday,5
CI-000404,JL-0013,CNT-004,2026-03-14,View,Unknown,3
CI-000405,JL-0013,CNT-006,2026-04-28,Save,Unknown,2
